mass_A
t	x	y
1.666666667E-2	-1.457093254E-3	3.883916171E-1
3.333333333E-2	-2.311507937E-3	3.892460317E-1
5.000000000E-2	-2.302192361E-3	3.892101804E-1
6.666666667E-2	-2.233830701E-3	3.892876132E-1
8.333333333E-2	-2.373145702E-3	3.891433277E-1
1.000000000E-1	-2.405033215E-3	3.891632668E-1
1.166666667E-1	-2.475136149E-3	3.890801506E-1
1.333333333E-1	-2.211100259E-3	3.891163737E-1
1.500000000E-1	-1.958839610E-3	3.890269725E-1
1.666666667E-1	-2.086996430E-3	3.889056278E-1
1.833333333E-1	-2.040296196E-3	3.887495096E-1
2.000000000E-1	-2.091951833E-3	3.890042788E-1
2.166666667E-1	-2.089720042E-3	3.891944650E-1
2.333333333E-1	-2.112276003E-3	3.891214416E-1
2.500000000E-1	-2.081314110E-3	3.890055845E-1
2.666666667E-1	-2.225591231E-3	3.892241920E-1
2.833333333E-1	-2.262475872E-3	3.891981231E-1
3.000000000E-1	-2.282030773E-3	3.892037776E-1
3.166666667E-1	-2.301762770E-3	3.891837987E-1
3.333333333E-1	-2.407431324E-3	3.890307000E-1
3.500000000E-1	-2.413877817E-3	3.890489788E-1
3.666666667E-1	-2.348970812E-3	3.890192080E-1
3.833333333E-1	-2.250738339E-3	3.889525840E-1
4.000000000E-1	-2.281172809E-3	3.888593174E-1
4.166666667E-1	-2.215856994E-3	3.891493800E-1
4.333333333E-1	-2.020816991E-3	3.889873865E-1
4.500000000E-1	1.236583873E-3	3.861706787E-1
4.666666667E-1	9.082849958E-3	3.820908310E-1
4.833333333E-1	2.210367429E-2	3.707986568E-1
5.000000000E-1	3.543619399E-2	3.610371577E-1
5.166666667E-1	5.378642979E-2	3.526800124E-1
5.333333333E-1	7.616123799E-2	3.449191965E-1
5.500000000E-1	1.008274130E-1	3.383763955E-1
5.666666667E-1	1.278496167E-1	3.341640145E-1
5.833333333E-1	1.556890012E-1	3.321546352E-1
6.000000000E-1	1.838830495E-1	3.310723844E-1
6.166666667E-1	2.116151394E-1	3.319069066E-1
6.333333333E-1	2.388658567E-1	3.331900146E-1
6.500000000E-1	2.652525737E-1	3.357913745E-1
6.666666667E-1	2.909755427E-1	3.388272055E-1
6.833333333E-1	3.150925634E-1	3.418137212E-1
7.000000000E-1	3.392094643E-1	3.433691725E-1
7.166666667E-1	3.633266863E-1	3.474186335E-1
7.333333333E-1	3.860848129E-1	3.462524183E-1
7.500000000E-1	4.089373633E-1	3.465178134E-1
7.666666667E-1	4.309940566E-1	3.465341389E-1
7.833333333E-1	4.531963004E-1	3.461303294E-1
8.000000000E-1	4.758619819E-1	3.445330693E-1
8.166666667E-1	4.984129377E-1	3.421878850E-1
8.333333333E-1	5.217889210E-1	3.386020053E-1
8.500000000E-1	5.461672088E-1	3.346748096E-1
8.666666667E-1	5.717525370E-1	3.269861315E-1
8.833333333E-1	5.991075771E-1	3.191405033E-1
9.000000000E-1	6.272692788E-1	3.118385828E-1
9.166666667E-1	6.579429079E-1	3.026956220E-1
9.333333333E-1	6.896533368E-1	2.927480528E-1
9.500000000E-1	7.237308134E-1	2.808574597E-1
9.666666667E-1	7.592087623E-1	2.659184095E-1
9.833333333E-1	7.982093136E-1	2.537393073E-1
1.000000000E0	8.400698318E-1	2.441412016E-1
1.016666667E0	8.835811686E-1	2.390896509E-1
1.033333333E0	9.272378762E-1	2.398739200E-1
1.050000000E0	9.692921257E-1	2.491966559E-1
1.066666667E0	1.006889800E0	2.640469091E-1
1.083333333E0	1.040856180E0	2.781163503E-1
1.100000000E0	1.073549221E0	2.909813683E-1
1.116666667E0	1.103151991E0	3.010710827E-1
1.133333333E0	1.131842996E0	3.053542879E-1
1.150000000E0	1.160746433E0	3.074974947E-1
1.166666667E0	1.188785228E0	3.082930080E-1
1.183333333E0	1.216384041E0	3.082573095E-1
1.200000000E0	1.244072583E0	3.076914040E-1
1.216666667E0	1.271675088E0	3.080440300E-1
1.233333333E0	1.300084578E0	3.108014290E-1
1.250000000E0	1.326645327E0	3.076492678E-1
