kule
t	x	y
0.000000000E0	3.292407066E-3	4.122255783E-1
1.666666667E-2	1.490605264E-3	4.104237765E-1
3.333333333E-2	1.611651254E-3	4.105355479E-1
5.000000000E-2	1.625543548E-3	4.105465333E-1
6.666666667E-2	6.615805053E-4	4.114082729E-1
8.333333333E-2	4.015226074E-3	4.085025224E-1
1.000000000E-1	1.017739269E-2	4.013544920E-1
1.166666667E-1	2.155439653E-2	3.940458466E-1
1.333333333E-1	3.892762220E-2	3.850781438E-1
1.500000000E-1	5.842542164E-2	3.752878431E-1
1.666666667E-1	8.172777087E-2	3.662733405E-1
1.833333333E-1	1.076834420E-1	3.589868437E-1
2.000000000E-1	1.359236299E-1	3.531924945E-1
2.166666667E-1	1.654022244E-1	3.503173873E-1
2.333333333E-1	1.963453271E-1	3.519149721E-1
2.500000000E-1	2.258620478E-1	3.490719880E-1
2.666666667E-1	2.558457361E-1	3.513311575E-1
2.833333333E-1	2.836399907E-1	3.535940960E-1
3.000000000E-1	3.113621989E-1	3.564305077E-1
3.166666667E-1	3.378152564E-1	3.594138899E-1
3.333333333E-1	3.650600002E-1	3.645818154E-1
3.500000000E-1	3.906704034E-1	3.663480988E-1
3.666666667E-1	4.150680046E-1	3.660384712E-1
3.833333333E-1	4.395232550E-1	3.635797614E-1
4.000000000E-1	4.640436023E-1	3.636910653E-1
4.166666667E-1	4.890945023E-1	3.645406469E-1
4.333333333E-1	5.135606816E-1	3.627791091E-1
4.500000000E-1	5.382342356E-1	3.603106311E-1
4.666666667E-1	5.638257098E-1	3.556403091E-1
4.833333333E-1	5.908431000E-1	3.519337251E-1
5.000000000E-1	6.184173751E-1	3.426251686E-1
5.166666667E-1	6.482393298E-1	3.344143284E-1
5.333333333E-1	6.796728226E-1	3.257830996E-1
5.500000000E-1	7.125902057E-1	3.148121600E-1
5.666666667E-1	7.472482008E-1	3.041498887E-1
5.833333333E-1	7.844283761E-1	2.924435806E-1
6.000000000E-1	8.231946391E-1	2.751707024E-1
6.166666667E-1	8.660082786E-1	2.632729829E-1
6.333333333E-1	9.111952320E-1	2.547261298E-1
6.500000000E-1	9.578722519E-1	2.524493056E-1
6.666666667E-1	1.004123369E0	2.570259052E-1
6.833333333E-1	1.046266960E0	2.705444451E-1
7.000000000E-1	1.084335397E0	2.865640374E-1
7.166666667E-1	1.119571200E0	3.011671780E-1
7.333333333E-1	1.153454836E0	3.136927236E-1
7.500000000E-1	1.185717613E0	3.212124604E-1
7.666666667E-1	1.217271945E0	3.254295994E-1
7.833333333E-1	1.246761785E0	3.275713247E-1
8.000000000E-1	1.276146480E0	3.280464621E-1
8.166666667E-1	1.305118377E0	3.281358032E-1
8.333333333E-1	1.333079516E0	3.269555974E-1
8.500000000E-1	1.362722591E0	3.284056524E-1
8.666666667E-1	1.391384587E0	3.275528105E-1
