mass_B
t	x	y
0.000000000E0	-5.101775216E-3	4.157946801E-1
1.666666667E-2	-2.550887608E-3	4.106929049E-1
3.333333333E-2	-7.434498147E-4	4.107136607E-1
5.000000000E-2	6.285455325E-3	4.037020345E-1
6.666666667E-2	1.439697082E-2	3.970857823E-1
8.333333333E-2	2.585555345E-2	3.880472028E-1
1.000000000E-1	4.323715700E-2	3.785571976E-1
1.166666667E-1	6.465260904E-2	3.686715946E-1
1.333333333E-1	8.965696701E-2	3.605050872E-1
1.500000000E-1	1.169692200E-1	3.539879717E-1
1.666666667E-1	1.467067950E-1	3.507124627E-1
1.833333333E-1	1.778659971E-1	3.514351332E-1
2.000000000E-1	2.088869089E-1	3.498315917E-1
2.166666667E-1	2.399847134E-1	3.499692614E-1
2.333333333E-1	2.694154109E-1	3.522928600E-1
2.500000000E-1	2.979566949E-1	3.557333848E-1
2.666666667E-1	3.260736235E-1	3.584311992E-1
2.833333333E-1	3.529991271E-1	3.616568826E-1
3.000000000E-1	3.782253413E-1	3.639611313E-1
3.166666667E-1	4.040254789E-1	3.633283719E-1
3.333333333E-1	4.293626751E-1	3.636518292E-1
3.500000000E-1	4.539769805E-1	3.638051628E-1
3.666666667E-1	4.787293191E-1	3.635745896E-1
3.833333333E-1	5.031549301E-1	3.629865527E-1
4.000000000E-1	5.278932095E-1	3.601275631E-1
4.166666667E-1	5.536986915E-1	3.569880208E-1
4.333333333E-1	5.796334707E-1	3.510065769E-1
4.500000000E-1	6.064381317E-1	3.437897214E-1
4.666666667E-1	6.353228262E-1	3.369884568E-1
4.833333333E-1	6.658289757E-1	3.283983141E-1
5.000000000E-1	6.986919158E-1	3.197324417E-1
5.166666667E-1	7.326795934E-1	3.088210710E-1
5.333333333E-1	7.689372302E-1	2.965866417E-1
5.500000000E-1	8.062591890E-1	2.816976429E-1
5.666666667E-1	8.477069793E-1	2.669171702E-1
5.833333333E-1	8.924802795E-1	2.559338116E-1
6.000000000E-1	9.391344215E-1	2.494065842E-1
6.166666667E-1	9.864665101E-1	2.496869087E-1
6.333333333E-1	1.032882922E0	2.563601094E-1
6.500000000E-1	1.074673994E0	2.714996497E-1
6.666666667E-1	1.111536930E0	2.873809977E-1
6.833333333E-1	1.147721749E0	3.017253727E-1
7.000000000E-1	1.180216694E0	3.133918232E-1
7.166666667E-1	1.212058932E0	3.183001451E-1
7.333333333E-1	1.243080520E0	3.215042666E-1
7.500000000E-1	1.273738246E0	3.227021364E-1
7.666666667E-1	1.304253996E0	3.230525435E-1
7.833333333E-1	1.334268773E0	3.222860715E-1
8.000000000E-1	1.363701552E0	3.222809704E-1
8.166666667E-1	1.395145181E0	3.260588818E-1
